Episode,Score,Random
1,750,1
2,775,1
3,750,1
4,875,1
5,4900,0.975
6,825,0.98
7,625,0.93662
8,1025,0.826446
9,800,0.702703
10,3850,0.738806
11,525,0.880952
12,4400,0.805085
13,850,0.819444
14,1025,0.782258
15,4725,0.801724
16,500,0.715686
17,4900,0.767857
18,1300,0.626016
19,4625,0.646154
20,4825,0.746032
21,550,0.761905
22,525,0.604651
23,4625,0.723077
24,800,0.647059
25,3925,0.778846
26,5225,0.762963
27,425,0.457831
28,475,0.537313
29,475,0.51145
30,1025,0.584071
31,425,0.68
32,4700,0.655844
33,625,0.668919
34,3800,0.566265
35,825,0.536585
36,925,0.508772
37,1000,0.571429
38,775,0.5
39,1000,0.388489
40,350,0.57377
41,800,0.487805
42,500,0.723684
43,4550,0.576642
44,500,0.554054
45,500,0.617647
46,4600,0.777778
47,475,0.428571
48,500,0.514706
49,500,0.4
50,500,0.412844
51,500,0.583333
52,4125,0.528926
53,4200,0.72043
54,4025,0.594203
55,550,0.590361
56,4925,0.319372
57,500,0.455696
58,800,0.516129
59,500,0.416667
60,3850,0.397727
61,525,0.560976
62,1325,0.340741
63,425,0.442857
64,525,0.430233
65,1325,0.554348
66,4750,0.543307
67,800,0.43038
68,525,0.404255
69,4650,0.537313
70,500,0.5
71,3750,0.441176
72,500,0.372881
73,500,0.41573
74,4975,0.369427
75,1000,0.277372
76,475,0.287234
77,4175,0.62037
78,500,0.365079
79,4075,0.442105
80,4725,0.380282
81,4050,0.459459
82,500,0.333333
83,500,0.275229
84,4050,0.377778
85,500,0.5
86,500,0.338235
87,500,0.325203
88,550,0.270833
89,450,0.516667
90,500,0.281553
91,975,0.328467
92,500,0.324324
93,4125,0.336364
94,500,0.297872
95,1000,0.268817
96,4100,0.301205
97,4075,0.272727
98,5225,0.342222
99,4625,0.331395
100,1100,0.169014
101,4025,0.259259
102,500,0.205882
103,500,0.314815
104,4225,0.432432
105,9350,0.272222
106,450,0.193182
107,4250,0.244094
108,7675,0.253846
109,3775,0.245283
110,8100,0.190141
111,7675,0.25
112,3975,0.409091
113,3925,0.196262
114,3950,0.261364
115,4150,0.30303
116,4550,0.140187
117,4550,0.196078
118,4650,0.277778
119,500,0.285714
120,500,0.157895
121,500,0.277372
122,3725,0.196429
123,4950,0.272727
124,5450,0.14094
125,4675,0.135135
126,500,0.245455
127,500,0.147541
128,475,0.298013
129,1000,0.175926
130,500,0.195652
131,4675,0.238889
132,4075,0.225225
133,4425,0.212121
134,500,0.151786
135,550,0.234783
136,500,0.117647
137,600,0.257576
138,8175,0.131356
139,1100,0.140845
140,5425,0.171429
141,3975,0.155172
142,4525,0.133333
143,4125,0.115385
144,4600,0.108434
145,8225,0.236264
146,4650,0.131783
147,4600,0.14094
148,8775,0.135246
149,575,0.228571
150,4650,0.226087
151,1000,0.0616438
152,4575,0.102564
153,1000,0.102941
154,4525,0.0707965
155,4450,0.0740741
156,4650,0.126761
157,4575,0.266187
158,13325,0.119632
159,4625,0.258065
160,8200,0.107784
161,5275,0.166667
162,5150,0.112245
163,4625,0.0595238
164,4725,0.179104
165,8250,0.12766
166,4675,0.10473
167,4000,0.516129
168,500,0.0859375
169,4125,0.155629
170,8900,0.142061
171,5200,0.171004
172,4575,0.153439
173,8350,0.186567
174,4600,0.419118
175,1200,0.0534884
176,875,0.115242
177,4925,0.148936
178,900,0.107296
179,8350,0.173077
180,13775,0.126016
181,8700,0.166667
182,4600,0.0709677
183,4950,0.282828
184,4625,0.153846
185,8800,0.119205
186,8850,0.139423
187,4675,0.192857
188,4550,0.107143
189,8125,0.209877
190,4850,0.179641
191,13500,0.142857
192,4750,0.137184
193,8800,0.0947631
194,5550,0.0819209
195,4125,0.160714
196,4075,0.149254
197,11625,0.09375
198,16325,0.260377
199,16850,0.3125
200,16725,0.214724
201,5250,0.115869
202,5625,0.0420499
203,1450,0.0357143
204,5400,0.105485
205,8425,0.15942
206,9175,0.129032
207,12975,0.116
208,5025,0.0541667
209,5325,0.0530303
210,12975,0.131707
211,12975,0.12963
212,4725,0.0472637
213,4700,0.12963
214,8500,0.0901857
215,14825,0.0608875
216,12300,0.123223
217,16175,0.121771
218,15625,0.198444
219,12875,0.0843373
220,8425,0.143885
221,12875,0.104265
222,12950,0.159574
223,8850,0.0609756
224,13125,0.134557
225,17775,0.117021
226,16275,0.0758808
227,13075,0.101149
228,8325,0.0930233
229,4625,0.145078
230,15875,0.287402
231,16050,0.26129
232,12525,0.0714286
233,8700,0.132022
234,12900,0.0555556
235,17475,0.146868
236,16875,0.235075
237,9450,0.15493
238,17350,0.240437
239,8875,0.110526
240,17025,0.295045
241,15875,0.148148
242,15875,0.0912863
243,17350,0.212766
244,4725,0.0638298
245,8775,0.0473373
246,12850,0.0586265
247,5325,0.090535
248,4100,0.0860215
249,12275,0.040678
250,17900,0.294278
251,12475,0.0597826
252,11200,0.104418
253,12250,0.132479
254,16700,0.311594
255,22050,0.336066
256,11975,0.0369318
257,9475,0.0392799
258,17475,0.113772
259,4725,0.136126
260,17575,0.321343
261,16225,0.16
262,8675,0.109756
263,16125,0.0505137
264,17825,0.365651
265,12275,0.0574018
266,16625,0.124138
267,18075,0.237762
268,17250,0.176647
269,16575,0.118557
270,12725,0.0963855
271,17275,0.119869
272,17350,0.163223
273,17075,0.104666
274,16375,0.129964
275,5100,0.0453333
276,22275,0.309339
277,17425,0.190601
278,17400,0.199313
279,13200,0.0803324
280,13425,0.0558252
281,17225,0.157385
282,17325,0.0684794
283,17125,0.287791
284,16025,0.215054
285,17425,0.194879
286,17575,0.165775
287,17925,0.113287
288,16200,0.0887728
289,17675,0.166667
290,17575,0.243942
291,17175,0.246988
292,18200,0.213406
293,17200,0.179245
294,14525,0.05
295,17825,0.123746
296,17450,0.143322
297,12675,0.0346021
298,18550,0.182331
299,16400,0.056701
300,17775,0.0441478
301,22325,0.164103
302,22550,0.303959
303,18375,0.048478
304,21425,0.297189
305,15700,0.116838
306,22150,0.238193
307,16775,0.112299
308,17900,0.151675
309,22150,0.254962
310,11925,0.0765766
311,15150,0.0890411
312,16300,0.188192
313,17200,0.13253
314,16100,0.0555556
315,17900,0.155718
316,22700,0.227425
317,31550,0.290928
318,18250,0.166963
319,17925,0.175399
320,17525,0.127706
321,17175,0.117845
322,17075,0.0761671
323,22450,0.190476
324,20975,0.349425
325,22400,0.28934
326,18650,0.172932
327,20750,0.224176
328,7950,0.0726496
329,22625,0.231304
330,21675,0.233853
331,21975,0.216891
332,22650,0.215805
333,24900,0.225
334,21925,0.251736
335,20775,0.192982
336,17600,0.175542
337,18300,0.236402
338,17900,0.180645
339,21775,0.194245
340,22200,0.306542
341,20550,0.237805
342,22250,0.230769
343,26400,0.210884
344,17600,0.128261
345,18000,0.195294
346,17150,0.0305882
347,22925,0.232892
348,23150,0.27
349,24025,0.24283
350,16725,0.077381
351,16925,0.121145
352,22300,0.226207
353,25700,0.231481
354,22600,0.225904
355,26575,0.200962
356,25150,0.289116
357,22250,0.255486
358,32525,0.206061
359,17150,0.111717
360,17500,0.15
361,25375,0.207729
362,16875,0.0930851
363,21000,0.208599
364,32250,0.256244
365,30075,0.268531
366,18125,0.18018
367,24275,0.156151
368,21350,0.161826
369,23000,0.190476
370,22325,0.208681
371,21075,0.190244
372,21575,0.198
373,31100,0.274896
374,22400,0.204082
375,22075,0.191375
376,26850,0.202046
377,29600,0.241233
378,18975,0.162659
379,21875,0.133425
380,17625,0.164537
381,21300,0.112721
382,31225,0.208584
383,27325,0.145928
384,21075,0.184211
385,22825,0.201726
386,18025,0.147573
387,31400,0.214646
388,21025,0.157025
389,21300,0.169039
390,26125,0.269911
391,22050,0.286449
392,22675,0.147541
393,22125,0.168942
394,26175,0.213942
395,32725,0.16962
396,24925,0.243243
397,21225,0.131619
398,17650,0.044186
399,29950,0.232624
400,25825,0.230653
401,26025,0.217868
402,27175,0.174251
403,21275,0.156463
404,29550,0.210723
405,21150,0.116327
406,28575,0.220602
407,25425,0.141207
408,22025,0.158768
409,24375,0.173469
410,22425,0.098513
411,22550,0.191781
412,22750,0.120797
413,17975,0.0764873
414,27275,0.174353
415,18200,0.115152
